يُمْكِنُ 	 مكن
زُهِيَ 	 زهو
بِئْسَ 	 بأس
أُغْمِيَ 	 غمي
سُقِطَ 	 سقط
نِعْمَ 	 نعم
بَرِحَ 	 برح
اِنْفَكَّ 	 فكك
تَعَالَى 	 علو
فَتِئَ 	 فتأ
وَدَعَ 	 ودع
وذر 	 ودع
أَوْشَكَ 	 وشك
رَامَ 	 روم
زَالَ 	 زيل
كَادَ 	 كود
لَيْسَ 	 ليس
عَيَّا 	 عيي
زَيَّا 	 زيي
حَيَّا 	 حيي
تَحَتَّمَ 	 حتم
أَحْيَا 	 حيي
أَعْيَا 	 عيي
تَحَيَّا 	 حيي
تَزَيَّا 	 زيي
اِسْتَعْيَا 	 عيي
اِسْتَحْيَا 	 حيي
عَسَى 	 عسي
حَيِيَ 	 حيي
عَيِيَ 	 عيي
آوَى 	 أوي
حَلَكَ 	 حلك
بَخِرَ 	 بخر
حَبَسَ 	 حبس
تَلِدَ 	 تلد
حَصِدَ 	 حصد
خَبِرَ 	 خبر
نَجَعَ 	 نجع
حَلَفَ 	 حلف
عَصَمَ 	 عصم
كَسِلَ 	 كسل
هَشَمَ 	 هشم
بَهِجَ 	 بهج
كَسِحَ 	 كسح
بَلِهَ 	 بله
كَثَمَ 	 كثم
حَقِدَ 	 حقد
حَكِرَ 	 حكر
مَحِكَ 	 محك
فَرَشَ 	 فرش
حَفَنَ 	 حفن
خَبَصَ 	 خبص
طَرِبَ 	 طرب
خَرَعَ 	 خرع
خَتَنَ 	 ختن
فَهِمَ 	 فهم
نَكِبَ 	 نكب
خَدَشَ 	 خدش
حَمِقَ 	 حمق
جَدِعَ 	 جدع
رَهَصَ 	 رهص
خَجِلَ 	 خجل
خَدِرَ 	 خدر
عَقَلَ 	 عقل
حَشَكَ 	 حشك
حَفَزَ 	 حفز
حَفَصَ 	 حفص
دَسَعَ 	 دسع
حَشَمَ 	 حشم
مَهَنَ 	 مهن
حَفَرَ 	 حفر
كَسَحَ 	 كسح
خَمِرَ 	 خمر
شَبَحَ 	 شبح
حَطَمَ 	 حطم
نَزِقَ 	 نزق
خَبِلَ 	 خبل
سَلِطَ 	 سلط
بَرِمَ 	 برم
بَصِرَ 	 بصر
غَفَرَ 	 غفر
جَرَسَ 	 جرس
بَسَمَ 	 بسم
عَرِكَ 	 عرك
خَلِقَ 	 خلق
صَلِعَ 	 صلع
زَهَرَ 	 زهر
تَفَلَ 	 تفل
نَكِزَ 	 نكز
بَطِنَ 	 بطن
سَكَعَ 	 سكع
بَطَحَ 	 بطح
خَنَفَ 	 خنف
غَدَقَ 	 غدق
جَزَلَ 	 جزل
جَلَطَ 	 جلط
مَسَكَ 	 مسك
جَرِجَ 	 جرج
دَلَفَ 	 دلف
عَجِفَ 	 عجف
مَلِدَ 	 ملد
نَهِرَ 	 نهر
جَرِذَ 	 جرذ
جَرَعَ 	 جرع
جَرَحَ 	 جرح
سَعَرَ 	 سعر
تَفِهَ 	 تفه
رَسِلَ 	 رسل
هَدِلَ 	 هدل
نَزِلَ 	 نزل
خَضِمَ 	 خضم
شَبِمَ 	 شبم
تَلِفَ 	 تلف
حَطِبَ 	 حطب
تَرِفَ 	 ترف
كَحِلَ 	 كحل
بَقَرَ 	 بقر
هَدَفَ 	 هدف
بَعَرَ 	 بعر
بَغَتَ 	 بغت
بَخِلَ 	 بخل
مَحَلَ 	 محل
عَكَسَ 	 عكس
رَدِفَ 	 ردف
قَصَفَ 	 قصف
خَطَرَ 	 خطر
جَنَحَ 	 جنح
تَبِعَ 	 تبع
شَنِجَ 	 شنج
حَسِفَ 	 حسف
عَتَبَ 	 عتب
بَحَثَ 	 بحث
عَشِقَ 	 عشق
نَعَبَ 	 نعب
صَرِدَ 	 صرد
خَزَقَ 	 خزق
زَلَعَ 	 زلع
شَنَعَ 	 شنع
شَنِعَ 	 شنع
رَبَعَ 	 ربع
نَصَعَ 	 نصع
عَتَقَ 	 عتق
صَرَفَ 	 صرف
هَزِجَ 	 هزج
نَتَنَ 	 نتن
صَعَقَ 	 صعق
صَعِقَ 	 صعق
حَدِرَ 	 حدر
صَدَفَ 	 صدف
شَهَقَ 	 شهق
مَعَنَ 	 معن
شَهِبَ 	 شهب
فَخِرَ 	 فخر
زَمَرَ 	 زمر
شَكِرَ 	 شكر
شَكِسَ 	 شكس
شَكِلَ 	 شكل
حَمَلَ 	 حمل
شَمِتَ 	 شمت
كَبَتَ 	 كبت
شَمِسَ 	 شمس
نَزَفَ 	 نزف
شَرِبَ 	 شرب
زَعَقَ 	 زعق
نَشَطَ 	 نشط
ذَبَحَ 	 ذبح
شَعِفَ 	 شعف
سَوِقَ 	 سوق
جَشِمَ 	 جشم
شَبِرَ 	 شبر
ظَلِفَ 	 ظلف
طَفَرَ 	 طفر
شَبِقَ 	 شبق
سَيِسَ 	 سيس
صَرَمَ 	 صرم
لَزِجَ 	 لزج
غَلَقَ 	 غلق
بَشِعَ 	 بشع
شَوِهَ 	 شوه
لَمَسَ 	 لمس
شَبَكَ 	 شبك
هَجَعَ 	 هجع
شَبِعَ 	 شبع
شَخَبَ 	 شخب
عَدَلَ 	 عدل
قَضَبَ 	 قضب
صَدَعَ 	 صدع
صَخِبَ 	 صخب
حَدَجَ 	 حدج
قَرَسَ 	 قرس
رَثِمَ 	 رثم
عَلَقَ 	 علق
نَذِرَ 	 نذر
كَتَفَ 	 كتف
جَهَزَ 	 جهز
خَفِرَ 	 خفر
حَبِرَ 	 حبر
رَضِعَ 	 رضع
جَهَشَ 	 جهش
جَهَدَ 	 جهد
قَضِمَ 	 قضم
خَصَبَ 	 خصب
حَنِثَ 	 حنث
قَلَقَ 	 قلق
حَوِرَ 	 حور
شَنِبَ 	 شنب
حَمِرَ 	 حمر
حَمِسَ 	 حمس
خَبَزَ 	 خبز
ظَرِبَ 	 ظرب
حَبَطَ 	 حبط
هَزَعَ 	 هزع
حَنَطَ 	 حنط
حَنِفَ 	 حنف
حَبِطَ 	 حبط
بَذِخَ 	 بذخ
كَرَزَ 	 كرز
ثَمِلَ 	 ثمل
مَشَطَ 	 مشط
حَذِرَ 	 حذر
خَرِقَ 	 خرق
حَرَدَ 	 حرد
غَلَبَ 	 غلب
دَنِفَ 	 دنف
شَنِفَ 	 شنف
سَلِبَ 	 سلب
شَفَهَ 	 شفه
عَجَزَ 	 عجز
ظَلِمَ 	 ظلم
كَسَفَ 	 كسف
حَرَمَ 	 حرم
شَفِقَ 	 شفق
كَفِحَ 	 كفح
نَكَحَ 	 نكح
حَزَمَ 	 حزم
